Unnamed: 0,clientIp,Borealis
0,147.182.194.6,"{""ips"":[""147.182.194.6""],""results"":[{""resolvedDomains"":[{""ip"":""147.182.194.6"",""date"":""Jun 6, 2024, 10:58:42 AM"",""addedOn"":20240606}],""status"":""UNKNOWN""}],""modules"":{""VIRUSTOTAL"":{""avResults"":{""malicious"":0,""undetected"":39,""suspicious"":0,""harmless"":54,""timeout"":0},""tags"":[],""numberOfCommunicatingFiles"":""0"",""numberOfDownloadedFiles"":""0"",""numberOfUrls"":""2"",""lastHttpsCertificate"":{""issuer"":{""C"":""US"",""CN"":""R3"",""O"":""Let\u0027s Encrypt""},""validity"":{""not_after"":""2022-12-03 14:15:39"",""not_before"":""2022-09-04 14:15:40""}},""vtlink"":""https://www.virustotal.com/gui/ip-address/147.182.194.6"",""asn"":14061,""country"":""US"",""asOwner"":""DIGITALOCEAN-ASN"",""lastHttpsCertificateDate"":""Sep 04, 2022, 11:23:24 AM"",""network"":""147.182.128.0/17"",""jarm"":""15d2ad16d29d29d00015d2ad15d29d67edd16014aa8d87eb613c543d04cbe2""},""NEUSTAR"":[{""representation"":{""start_ip_int"":2478227968,""end_ip_int"":2478228223,""start_ip"":""147.182.194.0"",""end_ip"":""147.182.194.255""},""connectivity"":{""continent"":""north america"",""country"":""united states"",""country_code"":""us"",""country_cf"":99,""region"":""southwest"",""state"":""california"",""state_code"":""ca"",""state_cf"":0,""city"":""palo alto"",""city_cf"":80,""postal_code"":""94301"",""postal_code_cf"":2,""area_code"":650,""time_zone"":-8.0,""latitude"":37.443,""longitude"":-122.151,""dma"":807,""consistency_code"":4,""radius"":0.0,""ip_routing_type"":"""",""connection_type"":"""",""line_speed"":""""},""organization"":{""asn"":14061,""tld"":""com"",""sld"":"""",""organization"":""digitalocean  llc"",""organization_type"":""Data Services"",""naics_code"":""518210"",""isic_code"":""J6311"",""carrier"":""digitalocean  llc"",""home"":""false""},""proxy"":{""anonymizer_status"":""private"",""proxy_type"":""service"",""proxy_level"":""elite"",""proxy_last_detected"":""2022-10-17"",""vpn_service"":""digital ocean"",""hosting_facility"":""true""}}],""SPUR"":[],""DEVICE"":[],""STONEWALL"":{""decision"":""APPROVED"",""reason"":""NA""},""PORCUPINE"":[]}}"
1,87.251.67.120,"{""ips"":[""87.251.67.120""],""results"":[{""resolvedDomains"":[{""ip"":""87.251.67.120"",""date"":""Jun 6, 2024, 10:58:43 AM"",""addedOn"":20240606}],""status"":""UNKNOWN""}],""modules"":{""VIRUSTOTAL"":{""avResults"":{""malicious"":1,""undetected"":30,""suspicious"":0,""harmless"":62,""timeout"":0},""tags"":[],""numberOfCommunicatingFiles"":""0"",""numberOfDownloadedFiles"":""0"",""numberOfUrls"":""1"",""vtlink"":""https://www.virustotal.com/gui/ip-address/87.251.67.120"",""asn"":208091,""country"":""RU"",""asOwner"":""Xhost Internet Solutions Lp"",""network"":""87.251.67.0/24""},""NEUSTAR"":[{""representation"":{""start_ip_int"":1476084480,""end_ip_int"":1476084735,""start_ip"":""87.251.67.0"",""end_ip"":""87.251.67.255""},""connectivity"":{""continent"":""europe"",""country"":""netherlands"",""country_code"":""nl"",""country_cf"":86,""region"":"""",""state"":""noord-holland"",""state_code"":""nh"",""state_cf"":0,""city"":""amsterdam"",""city_cf"":50,""postal_code"":""1101"",""postal_code_cf"":0,""area_code"":0,""time_zone"":1.0,""latitude"":52.3091,""longitude"":4.94019,""dma"":0,""consistency_code"":4,""radius"":0.0,""ip_routing_type"":"""",""connection_type"":"""",""line_speed"":""""},""organization"":{""asn"":208091,""tld"":"""",""sld"":"""",""organization"":"" xhost internet solutions lp  suite 6060  128 aldersgate street "",""organization_type"":"""",""naics_code"":"""",""isic_code"":"""",""carrier"":""xhost internet solutions lp"",""home"":""""},""proxy"":{""anonymizer_status"":"""",""proxy_type"":"""",""proxy_level"":"""",""vpn_service"":"""",""hosting_facility"":""false""}}],""SPUR"":[],""DEVICE"":[],""STONEWALL"":{""decision"":""APPROVED"",""reason"":""NA""},""PORCUPINE"":[]}}"
4,45.158.15.185,"{""ips"":[""45.158.15.185""],""results"":[{""resolvedDomains"":[{""ip"":""45.158.15.185"",""date"":""Jun 6, 2024, 10:58:44 AM"",""addedOn"":20240606}],""status"":""UNKNOWN""}],""modules"":{""VIRUSTOTAL"":{""avResults"":{""malicious"":0,""undetected"":93,""suspicious"":0,""harmless"":0,""timeout"":0},""tags"":[],""numberOfCommunicatingFiles"":""0"",""numberOfDownloadedFiles"":""0"",""numberOfUrls"":""1"",""lastHttpsCertificate"":{""issuer"":{""C"":""US"",""CN"":""R3"",""O"":""Let\u0027s Encrypt""},""validity"":{""not_after"":""2022-12-24 09:26:28"",""not_before"":""2022-09-25 09:26:29""}},""vtlink"":""https://www.virustotal.com/gui/ip-address/45.158.15.185"",""asn"":207459,""country"":""TR"",""asOwner"":""Teknosos Bilisim Hizmetleri Ve Tic. Ltd. Sti."",""lastHttpsCertificateDate"":""Sep 25, 2022, 06:33:15 AM"",""network"":""45.158.15.0/24"",""jarm"":""40d40d40d00000000043d40d40d43dd812443a829002f8e614d83abb6b19de""},""NEUSTAR"":[{""representation"":{""start_ip_int"":765333408,""end_ip_int"":765333439,""start_ip"":""45.158.15.160"",""end_ip"":""45.158.15.191""},""connectivity"":{""continent"":""asia"",""country"":""turkey"",""country_code"":""tr"",""country_cf"":99,""region"":"""",""state"":""adana"",""state_code"":""01"",""state_cf"":0,""city"":""adana"",""city_cf"":61,""postal_code"":""01000"",""postal_code_cf"":2,""area_code"":0,""time_zone"":2.0,""latitude"":37.0019,""longitude"":35.3317,""dma"":0,""consistency_code"":4,""radius"":0.0,""ip_routing_type"":""fixed"",""connection_type"":""tx"",""line_speed"":""high""},""organization"":{""asn"":207459,""tld"":"""",""sld"":"""",""organization"":""taner temel"",""organization_type"":"""",""naics_code"":"""",""isic_code"":"""",""carrier"":""teknosos bilisim hizmetleri ve tic. ltd. sti."",""home"":""""},""proxy"":{""anonymizer_status"":"""",""proxy_type"":"""",""proxy_level"":"""",""vpn_service"":"""",""hosting_facility"":""false""}}],""SPUR"":[],""DEVICE"":[],""STONEWALL"":{""decision"":""APPROVED"",""reason"":""NA""},""PORCUPINE"":[]}}"
6,193.93.62.5,"{""ips"":[""193.93.62.5""],""results"":[{""resolvedDomains"":[{""ip"":""193.93.62.5"",""date"":""Jun 6, 2024, 10:58:46 AM"",""addedOn"":20240606}],""status"":""UNKNOWN""}],""modules"":{""VIRUSTOTAL"":{""avResults"":{""malicious"":0,""undetected"":93,""suspicious"":0,""harmless"":0,""timeout"":0},""tags"":[],""numberOfCommunicatingFiles"":""0"",""numberOfDownloadedFiles"":""0"",""numberOfUrls"":""0"",""vtlink"":""https://www.virustotal.com/gui/ip-address/193.93.62.5"",""country"":""LV""},""NEUSTAR"":[{""representation"":{""start_ip_int"":3244113408,""end_ip_int"":3244113663,""start_ip"":""193.93.62.0"",""end_ip"":""193.93.62.255""},""connectivity"":{""continent"":""europe"",""country"":""latvia"",""country_code"":""lv"",""country_cf"":86,""region"":"""",""state"":""riga"",""state_code"":"""",""state_cf"":0,""city"":""riga"",""city_cf"":61,""postal_code"":""lv-1001"",""postal_code_cf"":0,""area_code"":0,""time_zone"":2.0,""latitude"":56.9602,""longitude"":24.1343,""dma"":0,""consistency_code"":4,""radius"":0.0,""ip_routing_type"":"""",""connection_type"":"""",""line_speed"":""""},""organization"":{""asn"":0,""tld"":"""",""sld"":"""",""organization"":""sia it services"",""organization_type"":"""",""naics_code"":"""",""isic_code"":"""",""carrier"":"""",""home"":""""},""proxy"":{""anonymizer_status"":"""",""proxy_type"":"""",""proxy_level"":"""",""vpn_service"":"""",""hosting_facility"":""false""}}],""SPUR"":[],""DEVICE"":[],""STONEWALL"":{""decision"":""APPROVED"",""reason"":""NA""},""PORCUPINE"":[]}}"
8,193.93.62.20,"{""ips"":[""193.93.62.20""],""results"":[{""resolvedDomains"":[{""ip"":""193.93.62.20"",""date"":""Jun 6, 2024, 10:58:47 AM"",""addedOn"":20240606}],""status"":""UNKNOWN""}],""modules"":{""VIRUSTOTAL"":{""avResults"":{""malicious"":1,""undetected"":28,""suspicious"":0,""harmless"":64,""timeout"":0},""tags"":[],""numberOfCommunicatingFiles"":""0"",""numberOfDownloadedFiles"":""0"",""numberOfUrls"":""2"",""vtlink"":""https://www.virustotal.com/gui/ip-address/193.93.62.20"",""country"":""LV""},""NEUSTAR"":[{""representation"":{""start_ip_int"":3244113408,""end_ip_int"":3244113663,""start_ip"":""193.93.62.0"",""end_ip"":""193.93.62.255""},""connectivity"":{""continent"":""europe"",""country"":""latvia"",""country_code"":""lv"",""country_cf"":86,""region"":"""",""state"":""riga"",""state_code"":"""",""state_cf"":0,""city"":""riga"",""city_cf"":61,""postal_code"":""lv-1001"",""postal_code_cf"":0,""area_code"":0,""time_zone"":2.0,""latitude"":56.9602,""longitude"":24.1343,""dma"":0,""consistency_code"":4,""radius"":0.0,""ip_routing_type"":"""",""connection_type"":"""",""line_speed"":""""},""organization"":{""asn"":0,""tld"":"""",""sld"":"""",""organization"":""sia it services"",""organization_type"":"""",""naics_code"":"""",""isic_code"":"""",""carrier"":"""",""home"":""""},""proxy"":{""anonymizer_status"":"""",""proxy_type"":"""",""proxy_level"":"""",""vpn_service"":"""",""hosting_facility"":""false""}}],""SPUR"":[],""DEVICE"":[],""STONEWALL"":{""decision"":""APPROVED"",""reason"":""NA""},""PORCUPINE"":[]}}"
9,185.87.120.171,"{""ips"":[""185.87.120.171""],""results"":[{""resolvedDomains"":[{""ip"":""185.87.120.171"",""date"":""Jun 6, 2024, 10:58:48 AM"",""addedOn"":20240606}],""status"":""UNKNOWN""}],""modules"":{""VIRUSTOTAL"":{""avResults"":{""malicious"":1,""undetected"":30,""suspicious"":0,""harmless"":62,""timeout"":0},""tags"":[],""numberOfCommunicatingFiles"":""0"",""numberOfDownloadedFiles"":""0"",""numberOfUrls"":""2"",""vtlink"":""https://www.virustotal.com/gui/ip-address/185.87.120.171"",""asn"":207582,""country"":""TR"",""asOwner"":""Buuldy Bilisim"",""network"":""185.87.120.0/24""},""NEUSTAR"":[{""representation"":{""start_ip_int"":3109517340,""end_ip_int"":3109517535,""start_ip"":""185.87.120.28"",""end_ip"":""185.87.120.223""},""connectivity"":{""continent"":""asia"",""country"":""turkey"",""country_code"":""tr"",""country_cf"":86,""region"":"""",""state"":""istanbul"",""state_code"":""34"",""state_cf"":0,""city"":""istanbul"",""city_cf"":61,""postal_code"":""34010"",""postal_code_cf"":2,""area_code"":0,""time_zone"":2.0,""latitude"":41.0139,""longitude"":28.9603,""dma"":0,""consistency_code"":4,""radius"":0.0,""ip_routing_type"":""fixed"",""connection_type"":""tx"",""line_speed"":""high""},""organization"":{""asn"":207582,""tld"":""com"",""sld"":""routergate"",""organization"":""buuldy bilisim"",""organization_type"":"""",""naics_code"":"""",""isic_code"":"""",""carrier"":""emre mert delidere trading as buuldy bilisim"",""home"":""""},""proxy"":{""anonymizer_status"":"""",""proxy_type"":"""",""proxy_level"":"""",""vpn_service"":"""",""hosting_facility"":""true""}}],""SPUR"":[],""DEVICE"":[],""STONEWALL"":{""decision"":""APPROVED"",""reason"":""NA""},""PORCUPINE"":[]}}"
11,103.195.236.138,"{""ips"":[""103.195.236.138""],""results"":[{""resolvedDomains"":[{""ip"":""103.195.236.138"",""date"":""Jun 6, 2024, 10:58:49 AM"",""addedOn"":20240606}],""status"":""UNKNOWN""}],""modules"":{""VIRUSTOTAL"":{""avResults"":{""malicious"":0,""undetected"":93,""suspicious"":0,""harmless"":0,""timeout"":0},""tags"":[],""numberOfCommunicatingFiles"":""0"",""numberOfDownloadedFiles"":""0"",""numberOfUrls"":""1"",""vtlink"":""https://www.virustotal.com/gui/ip-address/103.195.236.138"",""asn"":140827,""country"":""VN"",""asOwner"":""AZ VIET NAM COMMUNICATIONS TECHNOLOGY COMPANY LIMITED"",""network"":""103.195.236.0/22""},""SPUR"":[],""NEUSTAR"":[{""representation"":{""start_ip_int"":1740893320,""end_ip_int"":1740893323,""start_ip"":""103.195.236.136"",""end_ip"":""103.195.236.139""},""connectivity"":{""continent"":""asia"",""country"":""vietnam"",""country_code"":""vn"",""country_cf"":99,""region"":"""",""state"":""thua thien"",""state_code"":"""",""state_cf"":0,""city"":""nam dong"",""city_cf"":90,""postal_code"":""536401"",""postal_code_cf"":0,""area_code"":0,""time_zone"":7.0,""latitude"":16.1188,""longitude"":107.684,""dma"":0,""consistency_code"":1,""radius"":0.0,""ip_routing_type"":"""",""connection_type"":"""",""line_speed"":""""},""organization"":{""asn"":140827,""tld"":"""",""sld"":"""",""organization"":""az viet nam communications technology company limited"",""organization_type"":"""",""naics_code"":"""",""isic_code"":"""",""carrier"":""az viet nam communications technology company limited"",""home"":""""},""proxy"":{""anonymizer_status"":"""",""proxy_type"":"""",""proxy_level"":"""",""vpn_service"":"""",""hosting_facility"":""false""}}],""STONEWALL"":{""decision"":""APPROVED"",""reason"":""NA""},""DEVICE"":[],""PORCUPINE"":[]}}"
14,193.93.62.41,"{""ips"":[""193.93.62.41""],""results"":[{""resolvedDomains"":[{""ip"":""193.93.62.41"",""date"":""Jun 6, 2024, 10:58:50 AM"",""addedOn"":20240606}],""status"":""UNKNOWN""}],""modules"":{""VIRUSTOTAL"":{""avResults"":{""malicious"":0,""undetected"":93,""suspicious"":0,""harmless"":0,""timeout"":0},""tags"":[],""numberOfCommunicatingFiles"":""0"",""numberOfDownloadedFiles"":""0"",""numberOfUrls"":""0"",""vtlink"":""https://www.virustotal.com/gui/ip-address/193.93.62.41"",""country"":""LV""},""NEUSTAR"":[{""representation"":{""start_ip_int"":3244113408,""end_ip_int"":3244113663,""start_ip"":""193.93.62.0"",""end_ip"":""193.93.62.255""},""connectivity"":{""continent"":""europe"",""country"":""latvia"",""country_code"":""lv"",""country_cf"":86,""region"":"""",""state"":""riga"",""state_code"":"""",""state_cf"":0,""city"":""riga"",""city_cf"":61,""postal_code"":""lv-1001"",""postal_code_cf"":0,""area_code"":0,""time_zone"":2.0,""latitude"":56.9602,""longitude"":24.1343,""dma"":0,""consistency_code"":4,""radius"":0.0,""ip_routing_type"":"""",""connection_type"":"""",""line_speed"":""""},""organization"":{""asn"":0,""tld"":"""",""sld"":"""",""organization"":""sia it services"",""organization_type"":"""",""naics_code"":"""",""isic_code"":"""",""carrier"":"""",""home"":""""},""proxy"":{""anonymizer_status"":"""",""proxy_type"":"""",""proxy_level"":"""",""vpn_service"":"""",""hosting_facility"":""false""}}],""SPUR"":[],""DEVICE"":[],""STONEWALL"":{""decision"":""APPROVED"",""reason"":""NA""},""PORCUPINE"":[]}}"
23,210.212.229.180,"{""ips"":[""210.212.229.180""],""results"":[{""resolvedDomains"":[{""ip"":""210.212.229.180"",""date"":""Jun 6, 2024, 10:58:52 AM"",""addedOn"":20240606}],""status"":""UNKNOWN""}],""modules"":{""VIRUSTOTAL"":{""avResults"":{""malicious"":1,""undetected"":28,""suspicious"":0,""harmless"":64,""timeout"":0},""tags"":[],""numberOfCommunicatingFiles"":""0"",""numberOfDownloadedFiles"":""1"",""numberOfUrls"":""2"",""vtlink"":""https://www.virustotal.com/gui/ip-address/210.212.229.180"",""asn"":9829,""country"":""IN"",""asOwner"":""National Internet Backbone"",""network"":""210.212.0.0/16""},""NEUSTAR"":[{""representation"":{""start_ip_int"":3537167792,""end_ip_int"":3537167807,""start_ip"":""210.212.229.176"",""end_ip"":""210.212.229.191""},""connectivity"":{""continent"":""asia"",""country"":""india"",""country_code"":""in"",""country_cf"":97,""region"":"""",""state"":""delhi"",""state_code"":""dl"",""state_cf"":0,""city"":""delhi"",""city_cf"":50,""postal_code"":""110006"",""postal_code_cf"":2,""area_code"":0,""time_zone"":5.5,""latitude"":28.6353,""longitude"":77.225,""dma"":0,""consistency_code"":4,""radius"":0.0,""ip_routing_type"":""fixed"",""connection_type"":""ocx"",""line_speed"":""high""},""organization"":{""asn"":9829,""tld"":"""",""sld"":"""",""organization"":""prajit"",""organization_type"":"""",""naics_code"":"""",""isic_code"":"""",""carrier"":""national internet backbone"",""home"":""""},""proxy"":{""anonymizer_status"":"""",""proxy_type"":"""",""proxy_level"":"""",""vpn_service"":"""",""hosting_facility"":""false""}}],""SPUR"":[],""DEVICE"":[],""STONEWALL"":{""decision"":""APPROVED"",""reason"":""NA""},""PORCUPINE"":[]}}"
28,142.93.64.26,"{""ips"":[""142.93.64.26""],""results"":[{""resolvedDomains"":[{""ip"":""142.93.64.26"",""date"":""Jun 6, 2024, 10:58:53 AM"",""addedOn"":20240606}],""status"":""UNKNOWN""}],""modules"":{""VIRUSTOTAL"":{""avResults"":{""malicious"":0,""undetected"":38,""suspicious"":0,""harmless"":55,""timeout"":0},""tags"":[],""numberOfCommunicatingFiles"":""0"",""numberOfDownloadedFiles"":""0"",""numberOfUrls"":""1"",""lastHttpsCertificate"":{""issuer"":{""ST"":""TX"",""C"":""US"",""CN"":""cPanel, Inc. Certification Authority"",""L"":""Houston"",""O"":""cPanel, Inc.""},""validity"":{""not_after"":""2021-12-09 23:59:59"",""not_before"":""2021-09-10 00:00:00""}},""vtlink"":""https://www.virustotal.com/gui/ip-address/142.93.64.26"",""asn"":14061,""country"":""US"",""asOwner"":""DIGITALOCEAN-ASN"",""lastHttpsCertificateDate"":""Sep 10, 2021, 06:11:41 PM"",""network"":""142.93.0.0/17"",""jarm"":""15d3fd16d29d29d00042d43d0000009ec686233a4398bea334ba5e62e34a01""},""NEUSTAR"":[{""representation"":{""start_ip_int"":2388475904,""end_ip_int"":2388476031,""start_ip"":""142.93.64.0"",""end_ip"":""142.93.64.127""},""connectivity"":{""continent"":""north america"",""country"":""united states"",""country_code"":""us"",""country_cf"":99,""region"":""northeast"",""state"":""new york"",""state_code"":""ny"",""state_cf"":0,""city"":""new york"",""city_cf"":80,""postal_code"":""10020"",""postal_code_cf"":2,""area_code"":212,""time_zone"":-5.0,""latitude"":40.7589,""longitude"":-73.979,""dma"":501,""consistency_code"":4,""radius"":0.0,""ip_routing_type"":""fixed"",""connection_type"":""tx"",""line_speed"":""high""},""organization"":{""asn"":14061,""tld"":""host"",""sld"":""tempurl"",""organization"":""digitalocean  llc"",""organization_type"":""Data Services"",""naics_code"":""518210"",""isic_code"":""J6311"",""carrier"":""digitalocean  llc"",""home"":""false""},""proxy"":{""anonymizer_status"":""private"",""proxy_type"":""service"",""proxy_level"":""elite"",""proxy_last_detected"":""2022-10-17"",""vpn_service"":""digital ocean"",""hosting_facility"":""true""}}],""SPUR"":[],""DEVICE"":[],""STONEWALL"":{""decision"":""REJECTED"",""reason"":""WARNING_LIST"",""filename"":""vpn-ipv4.csv""},""PORCUPINE"":[]}}"
