,clientIp,Borealis,stonewall_decision,stonewall_reason,neustar_proxy_anonymizer_status,neustar_proxy_type,neustar_proxy_level,neustar_proxy_last_detected,neustar_vpn_service,neustar_hosting_facility,virustotal_malicious,virustotal_undetected,virustotal_suspicious,virustotal_harmless,virustotal_timeout,porcupince
0,54.151.116.170,"{""ips"":[""54.151.116.170""],""results"":[{""resolvedDomains"":[{""ip"":""54.151.116.170"",""date"":""Jun 6, 2024, 2:07:09 PM"",""addedOn"":20240606}],""status"":""UNKNOWN""}],""modules"":{""DEVICE"":[],""NEUSTAR"":[{""representation"":{""start_ip_int"":915893773,""end_ip_int"":915898367,""start_ip"":""54.151.110.13"",""end_ip"":""54.151.127.255""},""connectivity"":{""continent"":""north america"",""country"":""united states"",""country_code"":""us"",""country_cf"":99,""region"":""southwest"",""state"":""california"",""state_code"":""ca"",""state_cf"":0,""city"":""san jose"",""city_cf"":95,""postal_code"":""95122"",""postal_code_cf"":2,""area_code"":408,""time_zone"":-8.0,""latitude"":37.3305,""longitude"":-121.838,""dma"":807,""consistency_code"":4,""radius"":53.0,""ip_routing_type"":""fixed"",""connection_type"":""tx"",""line_speed"":""high""},""organization"":{""asn"":16509,""tld"":""com"",""sld"":""amazonaws"",""organization"":""amazon.com  inc."",""organization_type"":""Retail"",""naics_code"":"""",""isic_code"":""G4790"",""carrier"":""amazon.com inc"",""home"":""false""},""proxy"":{""anonymizer_status"":"""",""proxy_type"":"""",""proxy_level"":"""",""vpn_service"":"""",""hosting_facility"":""true""}}],""STONEWALL"":{""decision"":""REJECTED"",""reason"":""WARNING_LIST"",""filename"":""amazon-aws.csv""},""SPUR"":[],""VIRUSTOTAL"":{""avResults"":{""malicious"":0,""undetected"":93,""suspicious"":0,""harmless"":0,""timeout"":0},""tags"":[],""numberOfCommunicatingFiles"":""0"",""numberOfDownloadedFiles"":""0"",""numberOfUrls"":""2"",""vtlink"":""https://www.virustotal.com/gui/ip-address/54.151.116.170"",""asn"":16509,""country"":""US"",""asOwner"":""AMAZON-02"",""network"":""54.148.0.0/14""},""PORCUPINE"":[]}}",REJECTED,WARNING_LIST,,,,NA,,true,0,93,0,0,0,[]
1,37.120.194.174,"{""ips"":[""37.120.194.174""],""results"":[{""resolvedDomains"":[{""ip"":""37.120.194.174"",""date"":""Jun 6, 2024, 2:07:10 PM"",""addedOn"":20240606}],""status"":""UNKNOWN""}],""modules"":{""SPUR"":[{""as"":{""number"":9009,""Organization"":""M247 Europe SRL""},""ip"":""37.120.194.174"",""risks"":[""CALLBACK_PROXY"",""TUNNEL""],""client"":{""count"":2,""types"":[""DESKTOP"",""MOBILE""],""proxies"":[""YILU_PROXY"",""ABCPROXY_PROXY"",""PROXYRACK_PROXY"",""GEONODE_PROXY""],""behaviors"":[""TOR_PROXY_USER""]},""tunnels"":[{""type"":""VPN"",""operator"":""VPNUNLIMITED_VPN"",""anonymous"":true}],""location"":{""city"":""Copenhagen"",""state"":""Capital Region"",""country"":""DK""},""services"":[""OPENVPN"",""IPSEC""],""organization"":""M247 LTD Copenhagen Infrastructure"",""infrastructure"":""DATACENTER""}],""VIRUSTOTAL"":{""avResults"":{""malicious"":3,""undetected"":28,""suspicious"":0,""harmless"":62,""timeout"":0},""tags"":[],""numberOfCommunicatingFiles"":""0"",""numberOfDownloadedFiles"":""0"",""numberOfUrls"":""2"",""lastHttpsCertificate"":{""issuer"":{""C"":""US"",""CN"":""R3"",""O"":""Let\u0027s Encrypt""},""validity"":{""not_after"":""2024-02-18 11:52:50"",""not_before"":""2023-11-20 11:52:51""}},""vtlink"":""https://www.virustotal.com/gui/ip-address/37.120.194.174"",""asn"":9009,""country"":""DK"",""asOwner"":""M247 Europe SRL"",""lastHttpsCertificateDate"":""Dec 16, 2023, 02:30:25 PM"",""network"":""37.120.192.0/20"",""jarm"":""27d40d40d00040d00027d40d27d40d19c87d867c7769d680e54b71c8f5e7c4""},""STONEWALL"":{""decision"":""REJECTED"",""reason"":""WARNING_LIST"",""filename"":""vpn-ipv4.csv""},""PORCUPINE"":[],""NEUSTAR"":[{""representation"":{""start_ip_int"":628670976,""end_ip_int"":628671231,""start_ip"":""37.120.194.0"",""end_ip"":""37.120.194.255""},""connectivity"":{""continent"":""europe"",""country"":""denmark"",""country_code"":""dk"",""country_cf"":86,""region"":"""",""state"":""hovedstaden"",""state_code"":""84"",""state_cf"":0,""city"":""kobenhavn"",""city_cf"":61,""postal_code"":""1050"",""postal_code_cf"":2,""area_code"":0,""time_zone"":1.0,""latitude"":55.6805,""longitude"":12.5878,""dma"":0,""consistency_code"":4,""radius"":0.0,""ip_routing_type"":"""",""connection_type"":"""",""line_speed"":""""},""organization"":{""asn"":9009,""tld"":"""",""sld"":"""",""organization"":""m247 ltd copenhagen infrastructure"",""organization_type"":"""",""naics_code"":"""",""isic_code"":"""",""carrier"":""m247 europe srl"",""home"":""""},""proxy"":{""anonymizer_status"":""private"",""proxy_type"":""service"",""proxy_level"":""elite"",""proxy_last_detected"":""2023-10-07"",""vpn_service"":""m247-ltd"",""hosting_facility"":""true""}}],""DEVICE"":[]}}",REJECTED,WARNING_LIST,private,service,elite,2023-10-07,m247-ltd,true,3,28,0,62,0,[]
2,94.232.47.158,"{""ips"":[""94.232.47.158""],""results"":[{""resolvedDomains"":[{""ip"":""94.232.47.158"",""date"":""Jun 6, 2024, 1:49:29 PM"",""addedOn"":20240606}],""status"":""UNKNOWN""}],""modules"":{""SPUR"":[],""STONEWALL"":{""decision"":""APPROVED"",""reason"":""NA""},""VIRUSTOTAL"":{""avResults"":{""malicious"":0,""undetected"":35,""suspicious"":0,""harmless"":58,""timeout"":0},""tags"":[],""numberOfCommunicatingFiles"":""0"",""numberOfDownloadedFiles"":""0"",""numberOfUrls"":""1"",""vtlink"":""https://www.virustotal.com/gui/ip-address/94.232.47.158"",""asn"":204490,""country"":""RU"",""asOwner"":""Kontel LLC"",""network"":""94.232.47.0/24""},""PORCUPINE"":[],""DEVICE"":[],""NEUSTAR"":[{""representation"":{""start_ip_int"":1592274688,""end_ip_int"":1592274943,""start_ip"":""94.232.47.0"",""end_ip"":""94.232.47.255""},""connectivity"":{""continent"":""asia"",""country"":""russian federation"",""country_code"":""ru"",""country_cf"":99,""region"":""tsentralny federalny okrug"",""state"":""moskva"",""state_code"":""mow"",""state_cf"":0,""city"":""moskva"",""city_cf"":80,""postal_code"":""101001"",""postal_code_cf"":2,""area_code"":0,""time_zone"":3.0,""latitude"":55.7644,""longitude"":37.6366,""dma"":0,""consistency_code"":4,""radius"":0.0,""ip_routing_type"":"""",""connection_type"":"""",""line_speed"":""""},""organization"":{""asn"":204490,""tld"":"""",""sld"":"""",""organization"":""dmitriy panchenko"",""organization_type"":"""",""naics_code"":"""",""isic_code"":"""",""carrier"":""kontel llc"",""home"":""""},""proxy"":{""anonymizer_status"":"""",""proxy_type"":"""",""proxy_level"":"""",""vpn_service"":"""",""hosting_facility"":""false""}}]}}",APPROVED,NA,,,,NA,,false,0,35,0,58,0,[]
3,82.102.19.110,"{""ips"":[""82.102.19.110""],""results"":[{""resolvedDomains"":[{""ip"":""82.102.19.110"",""date"":""Jun 6, 2024, 2:07:12 PM"",""addedOn"":20240606}],""status"":""UNKNOWN""}],""modules"":{""SPUR"":[{""as"":{""number"":9009,""Organization"":""M247 Europe SRL""},""ip"":""82.102.19.110"",""risks"":[""CALLBACK_PROXY"",""TUNNEL"",""GEO_MISMATCH""],""client"":{""count"":2,""types"":[""DESKTOP""],""proxies"":[""PROXYRACK_PROXY"",""GEONODE_PROXY""],""behaviors"":[""TOR_PROXY_USER""],""countries"":1,""concentration"":{""city"":""Barnwood"",""skew"":480,""state"":""England"",""country"":""GB"",""density"":1,""geohash"":""gcnrje""}},""tunnels"":[{""type"":""VPN"",""operator"":""VPNUNLIMITED_VPN"",""anonymous"":true}],""location"":{""city"":""Brussels"",""state"":""Brussels Capital"",""country"":""BE""},""services"":[""OPENVPN"",""IPSEC""],""organization"":""M247 LTD Brussels Infrastructure"",""infrastructure"":""DATACENTER""}],""VIRUSTOTAL"":{""avResults"":{""malicious"":1,""undetected"":27,""suspicious"":0,""harmless"":65,""timeout"":0},""tags"":[],""numberOfCommunicatingFiles"":""0"",""numberOfDownloadedFiles"":""1"",""numberOfUrls"":""3"",""lastHttpsCertificate"":{""issuer"":{""C"":""US"",""CN"":""R3"",""O"":""Let\u0027s Encrypt""},""validity"":{""not_after"":""2023-03-13 10:45:20"",""not_before"":""2022-12-13 10:45:21""}},""vtlink"":""https://www.virustotal.com/gui/ip-address/82.102.19.110"",""asn"":9009,""country"":""BE"",""asOwner"":""M247 Europe SRL"",""lastHttpsCertificateDate"":""Jan 20, 2023, 08:26:56 PM"",""network"":""82.102.16.0/20"",""jarm"":""15d3fd16d29d29d00015d3fd15d29ddcd675daa7b543dce27291adf40d6eec""},""STONEWALL"":{""decision"":""REJECTED"",""reason"":""WARNING_LIST"",""filename"":""vpn-ipv4.csv""},""PORCUPINE"":[],""NEUSTAR"":[{""representation"":{""start_ip_int"":1382421248,""end_ip_int"":1382421503,""start_ip"":""82.102.19.0"",""end_ip"":""82.102.19.255""},""connectivity"":{""continent"":""europe"",""country"":""belgium"",""country_code"":""be"",""country_cf"":86,""region"":""vlaams gewest"",""state"":""vlaams-brabant"",""state_code"":""vbr"",""state_cf"":0,""city"":""zaventem"",""city_cf"":61,""postal_code"":""1930"",""postal_code_cf"":0,""area_code"":0,""time_zone"":1.0,""latitude"":50.8877,""longitude"":4.47013,""dma"":0,""consistency_code"":4,""radius"":0.0,""ip_routing_type"":"""",""connection_type"":"""",""line_speed"":""""},""organization"":{""asn"":9009,""tld"":"""",""sld"":"""",""organization"":""m247 ltd brussels"",""organization_type"":"""",""naics_code"":"""",""isic_code"":"""",""carrier"":""m247 europe srl"",""home"":""""},""proxy"":{""anonymizer_status"":""private"",""proxy_type"":""service"",""proxy_level"":""elite"",""proxy_last_detected"":""2023-10-07"",""vpn_service"":""m247-ltd"",""hosting_facility"":""true""}}],""DEVICE"":[]}}",REJECTED,WARNING_LIST,private,service,elite,2023-10-07,m247-ltd,true,1,27,0,65,0,[]
4,194.165.16.73,"{""ips"":[""194.165.16.73""],""results"":[{""resolvedDomains"":[{""ip"":""194.165.16.73"",""date"":""Jun 6, 2024, 1:30:44 PM"",""addedOn"":20240606}],""status"":""UNKNOWN""}],""modules"":{""SPUR"":[],""VIRUSTOTAL"":{""avResults"":{""malicious"":14,""undetected"":26,""suspicious"":1,""harmless"":52,""timeout"":0},""tags"":[""suspicious-udp""],""numberOfCommunicatingFiles"":""10+"",""numberOfDownloadedFiles"":""0"",""numberOfUrls"":""10"",""crowdsourcedContext"":[{""source"":""ArcSight Threat Intelligence"",""title"":""VNC bruteforce Attackers [2023-09-20]"",""details"":""Source: alienvault\n\nVirusTotal Link: https://www.virustotal.com/gui/ip-address/194.165.16.73/detection\n\nAbuse IPDB Link: https://www.abuseipdb.com/check/194.165.16.73\n\nClassification Description: The IP\u0027s domains may infect its visitors with malware."",""severity"":""high"",""timestamp"":1695187127},{""source"":""CrowdSec"",""title"":""Find more information on CrowdSec CTI"",""details"":""Behaviors: Exploitation attempt / HTTP DoS / SMB/RDP bruteforce + 2 more. Full details on CrowdSec CTI"",""severity"":""info"",""timestamp"":1717345845}],""vtlink"":""https://www.virustotal.com/gui/ip-address/194.165.16.73"",""asn"":48721,""country"":""MC"",""asOwner"":""Flyservers S.A."",""network"":""194.165.16.0/23""},""STONEWALL"":{""decision"":""APPROVED"",""reason"":""NA""},""PORCUPINE"":[],""DEVICE"":[],""NEUSTAR"":[{""representation"":{""start_ip_int"":3265597440,""end_ip_int"":3265597695,""start_ip"":""194.165.16.0"",""end_ip"":""194.165.16.255""},""connectivity"":{""continent"":""europe"",""country"":""lithuania"",""country_code"":""lt"",""country_cf"":99,""region"":"""",""state"":""vilniaus apskritis"",""state_code"":""vl"",""state_cf"":0,""city"":""vilnius"",""city_cf"":80,""postal_code"":""01100"",""postal_code_cf"":0,""area_code"":0,""time_zone"":2.0,""latitude"":54.6872,""longitude"":25.2797,""dma"":0,""consistency_code"":4,""radius"":0.0,""ip_routing_type"":"""",""connection_type"":"""",""line_speed"":""""},""organization"":{""asn"":48721,""tld"":""com"",""sld"":""keznews"",""organization"":""flyservers s.a."",""organization_type"":"""",""naics_code"":"""",""isic_code"":"""",""carrier"":""flyservers s.a."",""home"":""""},""proxy"":{""anonymizer_status"":"""",""proxy_type"":"""",""proxy_level"":"""",""vpn_service"":"""",""hosting_facility"":""false""}}]}}",APPROVED,NA,,,,NA,,false,14,26,1,52,0,[]
5,185.216.35.46,"{""ips"":[""185.216.35.46""],""results"":[{""resolvedDomains"":[{""ip"":""185.216.35.46"",""date"":""Jun 6, 2024, 2:07:13 PM"",""addedOn"":20240606}],""status"":""UNKNOWN""}],""modules"":{""SPUR"":[{""as"":{""number"":9009,""Organization"":""M247 Europe SRL""},""ip"":""185.216.35.46"",""risks"":[""TUNNEL"",""GEO_MISMATCH""],""client"":{""count"":2,""types"":[""DESKTOP"",""MOBILE""],""behaviors"":[""TOR_PROXY_USER""],""countries"":1,""concentration"":{""city"":""Barnwood"",""skew"":1179,""state"":""England"",""country"":""GB"",""density"":1,""geohash"":""gcnrje""}},""tunnels"":[{""type"":""VPN"",""operator"":""VPNUNLIMITED_VPN"",""anonymous"":true}],""location"":{""city"":""Prague"",""state"":""Hlavni mesto Praha"",""country"":""CZ""},""services"":[""OPENVPN"",""IPSEC""],""organization"":""M247 LTD Prague Infrastructure"",""infrastructure"":""DATACENTER""}],""VIRUSTOTAL"":{""avResults"":{""malicious"":1,""undetected"":27,""suspicious"":0,""harmless"":65,""timeout"":0},""tags"":[],""numberOfCommunicatingFiles"":""1"",""numberOfDownloadedFiles"":""1"",""numberOfUrls"":""3"",""lastHttpsCertificate"":{""issuer"":{""C"":""US"",""CN"":""R3"",""O"":""Let\u0027s Encrypt""},""validity"":{""not_after"":""2024-02-18 11:52:50"",""not_before"":""2023-11-20 11:52:51""}},""vtlink"":""https://www.virustotal.com/gui/ip-address/185.216.35.46"",""asn"":9009,""country"":""CZ"",""asOwner"":""M247 Europe SRL"",""lastHttpsCertificateDate"":""Dec 17, 2023, 05:35:11 PM"",""network"":""185.216.32.0/22"",""jarm"":""27d40d40d00040d00027d40d27d40d19c87d867c7769d680e54b71c8f5e7c4""},""STONEWALL"":{""decision"":""REJECTED"",""reason"":""WARNING_LIST"",""filename"":""vpn-ipv4.csv""},""PORCUPINE"":[],""NEUSTAR"":[{""representation"":{""start_ip_int"":3117949696,""end_ip_int"":3117949951,""start_ip"":""185.216.35.0"",""end_ip"":""185.216.35.255""},""connectivity"":{""continent"":""europe"",""country"":""czechia"",""country_code"":""cz"",""country_cf"":99,""region"":"""",""state"":""hlavni mesto praha"",""state_code"":""10"",""state_cf"":0,""city"":""praha"",""city_cf"":98,""postal_code"":""106 00"",""postal_code_cf"":0,""area_code"":0,""time_zone"":1.0,""latitude"":50.0513,""longitude"":14.4928,""dma"":0,""consistency_code"":4,""radius"":0.0,""ip_routing_type"":"""",""connection_type"":"""",""line_speed"":""""},""organization"":{""asn"":9009,""tld"":""com"",""sld"":""m247"",""organization"":""m247 ltd"",""organization_type"":""Internet Service Provider"",""naics_code"":""517311"",""isic_code"":""J6110"",""carrier"":""m247 europe srl"",""home"":""false""},""proxy"":{""anonymizer_status"":""private"",""proxy_type"":""service"",""proxy_level"":""elite"",""proxy_last_detected"":""2023-10-07"",""vpn_service"":""m247-ltd"",""hosting_facility"":""true""}}],""DEVICE"":[]}}",REJECTED,WARNING_LIST,private,service,elite,2023-10-07,m247-ltd,true,1,27,0,65,0,[]
6,94.232.47.155,"{""ips"":[""94.232.47.155""],""results"":[{""resolvedDomains"":[{""ip"":""94.232.47.155"",""date"":""Jun 6, 2024, 1:53:14 PM"",""addedOn"":20240606}],""status"":""UNKNOWN""}],""modules"":{""SPUR"":[],""STONEWALL"":{""decision"":""APPROVED"",""reason"":""NA""},""VIRUSTOTAL"":{""avResults"":{""malicious"":0,""undetected"":32,""suspicious"":0,""harmless"":61,""timeout"":0},""tags"":[],""numberOfCommunicatingFiles"":""0"",""numberOfDownloadedFiles"":""0"",""numberOfUrls"":""1"",""vtlink"":""https://www.virustotal.com/gui/ip-address/94.232.47.155"",""asn"":204490,""country"":""RU"",""asOwner"":""Kontel LLC"",""network"":""94.232.47.0/24""},""PORCUPINE"":[],""DEVICE"":[],""NEUSTAR"":[{""representation"":{""start_ip_int"":1592274688,""end_ip_int"":1592274943,""start_ip"":""94.232.47.0"",""end_ip"":""94.232.47.255""},""connectivity"":{""continent"":""asia"",""country"":""russian federation"",""country_code"":""ru"",""country_cf"":99,""region"":""tsentralny federalny okrug"",""state"":""moskva"",""state_code"":""mow"",""state_cf"":0,""city"":""moskva"",""city_cf"":80,""postal_code"":""101001"",""postal_code_cf"":2,""area_code"":0,""time_zone"":3.0,""latitude"":55.7644,""longitude"":37.6366,""dma"":0,""consistency_code"":4,""radius"":0.0,""ip_routing_type"":"""",""connection_type"":"""",""line_speed"":""""},""organization"":{""asn"":204490,""tld"":"""",""sld"":"""",""organization"":""dmitriy panchenko"",""organization_type"":"""",""naics_code"":"""",""isic_code"":"""",""carrier"":""kontel llc"",""home"":""""},""proxy"":{""anonymizer_status"":"""",""proxy_type"":"""",""proxy_level"":"""",""vpn_service"":"""",""hosting_facility"":""false""}}]}}",APPROVED,NA,,,,NA,,false,0,32,0,61,0,[]
7,91.219.238.174,"{""ips"":[""91.219.238.174""],""results"":[{""resolvedDomains"":[{""ip"":""91.219.238.174"",""date"":""Jun 6, 2024, 2:07:14 PM"",""addedOn"":20240606}],""status"":""UNKNOWN""}],""modules"":{""SPUR"":[{""as"":{""number"":56322,""Organization"":""ServerAstra Kft.""},""ip"":""91.219.238.174"",""risks"":[""CALLBACK_PROXY"",""TUNNEL""],""client"":{""proxies"":[""GEOSURF_PROXY""],""behaviors"":[""TOR_PROXY_USER""]},""tunnels"":[{""type"":""VPN"",""operator"":""VPNUNLIMITED_VPN"",""anonymous"":true}],""location"":{""city"":""Budapest"",""state"":""Budapest"",""country"":""HU""},""services"":[""OPENVPN"",""IPSEC""],""organization"":""ServerAstra Kft."",""infrastructure"":""DATACENTER""}],""VIRUSTOTAL"":{""avResults"":{""malicious"":2,""undetected"":29,""suspicious"":1,""harmless"":61,""timeout"":0},""tags"":[],""numberOfCommunicatingFiles"":""1"",""numberOfDownloadedFiles"":""4"",""numberOfUrls"":""10+"",""lastHttpsCertificate"":{""issuer"":{""C"":""US"",""CN"":""R3"",""O"":""Let\u0027s Encrypt""},""validity"":{""not_after"":""2023-06-05 07:02:02"",""not_before"":""2023-03-07 07:02:03""}},""vtlink"":""https://www.virustotal.com/gui/ip-address/91.219.238.174"",""asn"":56322,""country"":""HU"",""asOwner"":""ServerAstra Kft."",""lastHttpsCertificateDate"":""Mar 31, 2023, 10:26:15 AM"",""network"":""91.219.236.0/22"",""jarm"":""15d3fd16d29d29d00015d3fd15d29ddcd675daa7b543dce27291adf40d6eec""},""STONEWALL"":{""decision"":""REJECTED"",""reason"":""WARNING_LIST"",""filename"":""vpn-ipv4.csv""},""PORCUPINE"":[],""NEUSTAR"":[{""representation"":{""start_ip_int"":1541139968,""end_ip_int"":1541140223,""start_ip"":""91.219.238.0"",""end_ip"":""91.219.238.255""},""connectivity"":{""continent"":""europe"",""country"":""hungary"",""country_code"":""hu"",""country_cf"":99,""region"":"""",""state"":""budapest"",""state_code"":""bu"",""state_cf"":0,""city"":""budapest"",""city_cf"":61,""postal_code"":""1191"",""postal_code_cf"":0,""area_code"":0,""time_zone"":1.0,""latitude"":47.46,""longitude"":19.1497,""dma"":0,""consistency_code"":4,""radius"":0.0,""ip_routing_type"":""fixed"",""connection_type"":""tx"",""line_speed"":""high""},""organization"":{""asn"":56322,""tld"":""com"",""sld"":""serverastra"",""organization"":""serverastra kft."",""organization_type"":"""",""naics_code"":"""",""isic_code"":"""",""carrier"":""serverastra kft."",""home"":""""},""proxy"":{""anonymizer_status"":""private"",""proxy_type"":""service"",""proxy_level"":""elite"",""proxy_last_detected"":""2022-10-20"",""vpn_service"":""expressvpn"",""hosting_facility"":""false""}}],""DEVICE"":[]}}",REJECTED,WARNING_LIST,private,service,elite,2022-10-20,expressvpn,false,2,29,1,61,0,[]
8,47.242.107.32,"{""ips"":[""47.242.107.32""],""results"":[{""resolvedDomains"":[{""ip"":""47.242.107.32"",""date"":""Jun 6, 2024, 1:52:25 PM"",""addedOn"":20240606}],""status"":""UNKNOWN""}],""modules"":{""VIRUSTOTAL"":{""avResults"":{""malicious"":0,""undetected"":93,""suspicious"":0,""harmless"":0,""timeout"":0},""tags"":[],""numberOfCommunicatingFiles"":""0"",""numberOfDownloadedFiles"":""3"",""numberOfUrls"":""10+"",""lastHttpsCertificate"":{""issuer"":{""C"":""US"",""CN"":""R3"",""O"":""Let\u0027s Encrypt""},""validity"":{""not_after"":""2023-02-11 13:22:44"",""not_before"":""2022-11-13 13:22:45""}},""vtlink"":""https://www.virustotal.com/gui/ip-address/47.242.107.32"",""asn"":45102,""country"":""HK"",""asOwner"":""Alibaba US Technology Co., Ltd."",""lastHttpsCertificateDate"":""Dec 08, 2022, 08:29:31 PM"",""network"":""47.242.0.0/15"",""jarm"":""3fd3fd0003fd3fd21c42d42d000000307ee0eb468e9fdb5cfcd698a80a67ef""},""NEUSTAR"":[{""representation"":{""start_ip_int"":804416280,""end_ip_int"":804416511,""start_ip"":""47.242.107.24"",""end_ip"":""47.242.107.255""},""connectivity"":{""continent"":""asia"",""country"":""hong kong"",""country_code"":""hk"",""country_cf"":76,""region"":"""",""state"":""hong kong"",""state_code"":"""",""state_cf"":0,""city"":""aberdeen"",""city_cf"":50,""postal_code_cf"":0,""area_code"":0,""time_zone"":8.0,""latitude"":22.2483,""longitude"":114.152,""dma"":0,""consistency_code"":4,""radius"":0.0,""ip_routing_type"":""fixed"",""connection_type"":""tx"",""line_speed"":""high""},""organization"":{""asn"":45102,""tld"":""org"",""sld"":""openanolis"",""organization"":""alibaba cloud llc"",""organization_type"":"""",""naics_code"":"""",""isic_code"":"""",""carrier"":""alibaba (us) technology co.  ltd."",""home"":""""},""proxy"":{""anonymizer_status"":"""",""proxy_type"":"""",""proxy_level"":"""",""vpn_service"":"""",""hosting_facility"":""false""}}],""SPUR"":[],""DEVICE"":[],""STONEWALL"":{""decision"":""APPROVED"",""reason"":""NA""},""PORCUPINE"":[]}}",APPROVED,NA,,,,NA,,false,0,93,0,0,0,[]
9,194.165.16.78,"{""ips"":[""194.165.16.78""],""results"":[{""resolvedDomains"":[{""ip"":""194.165.16.78"",""date"":""Jun 6, 2024, 1:29:26 PM"",""addedOn"":20240606}],""status"":""UNKNOWN""}],""modules"":{""VIRUSTOTAL"":{""avResults"":{""malicious"":13,""undetected"":27,""suspicious"":1,""harmless"":52,""timeout"":0},""tags"":[""suspicious-udp""],""numberOfCommunicatingFiles"":""10+"",""numberOfDownloadedFiles"":""0"",""numberOfUrls"":""10"",""vtlink"":""https://www.virustotal.com/gui/ip-address/194.165.16.78"",""asn"":48721,""country"":""MC"",""asOwner"":""Flyservers S.A."",""network"":""194.165.16.0/23""},""SPUR"":[],""NEUSTAR"":[{""representation"":{""start_ip_int"":3265597440,""end_ip_int"":3265597695,""start_ip"":""194.165.16.0"",""end_ip"":""194.165.16.255""},""connectivity"":{""continent"":""europe"",""country"":""lithuania"",""country_code"":""lt"",""country_cf"":99,""region"":"""",""state"":""vilniaus apskritis"",""state_code"":""vl"",""state_cf"":0,""city"":""vilnius"",""city_cf"":80,""postal_code"":""01100"",""postal_code_cf"":0,""area_code"":0,""time_zone"":2.0,""latitude"":54.6872,""longitude"":25.2797,""dma"":0,""consistency_code"":4,""radius"":0.0,""ip_routing_type"":"""",""connection_type"":"""",""line_speed"":""""},""organization"":{""asn"":48721,""tld"":""com"",""sld"":""keznews"",""organization"":""flyservers s.a."",""organization_type"":"""",""naics_code"":"""",""isic_code"":"""",""carrier"":""flyservers s.a."",""home"":""""},""proxy"":{""anonymizer_status"":"""",""proxy_type"":"""",""proxy_level"":"""",""vpn_service"":"""",""hosting_facility"":""false""}}],""STONEWALL"":{""decision"":""APPROVED"",""reason"":""NA""},""DEVICE"":[],""PORCUPINE"":[]}}",APPROVED,NA,,,,NA,,false,13,27,1,52,0,[]
